form,lineups,league_id,league_name,league_country,league_logo,league_flag,league_season,team_id,team_name,team_logo,fixtures_played_home,fixtures_played_away,fixtures_played_total,fixtures_wins_home,fixtures_wins_away,fixtures_wins_total,fixtures_draws_home,fixtures_draws_away,fixtures_draws_total,fixtures_loses_home,fixtures_loses_away,fixtures_loses_total,goals_for_total_home,goals_for_total_away,goals_for_total_total,goals_for_average_home,goals_for_average_away,goals_for_average_total,goals_for_minute_0-15_total,goals_for_minute_0-15_percentage,goals_for_minute_16-30_total,goals_for_minute_16-30_percentage,goals_for_minute_31-45_total,goals_for_minute_31-45_percentage,goals_for_minute_46-60_total,goals_for_minute_46-60_percentage,goals_for_minute_61-75_total,goals_for_minute_61-75_percentage,goals_for_minute_76-90_total,goals_for_minute_76-90_percentage,goals_for_minute_91-105_total,goals_for_minute_91-105_percentage,goals_for_minute_106-120_total,goals_for_minute_106-120_percentage,goals_against_total_home,goals_against_total_away,goals_against_total_total,goals_against_average_home,goals_against_average_away,goals_against_average_total,goals_against_minute_0-15_total,goals_against_minute_0-15_percentage,goals_against_minute_16-30_total,goals_against_minute_16-30_percentage,goals_against_minute_31-45_total,goals_against_minute_31-45_percentage,goals_against_minute_46-60_total,goals_against_minute_46-60_percentage,goals_against_minute_61-75_total,goals_against_minute_61-75_percentage,goals_against_minute_76-90_total,goals_against_minute_76-90_percentage,goals_against_minute_91-105_total,goals_against_minute_91-105_percentage,goals_against_minute_106-120_total,goals_against_minute_106-120_percentage,biggest_streak_wins,biggest_streak_draws,biggest_streak_loses,biggest_wins_home,biggest_wins_away,biggest_loses_home,biggest_loses_away,biggest_goals_for_home,biggest_goals_for_away,biggest_goals_against_home,biggest_goals_against_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,failed_to_score_home,failed_to_score_away,failed_to_score_total,penalty_scored_total,penalty_scored_percentage,penalty_missed_total,penalty_missed_percentage,penalty_total,cards_yellow_0-15_total,cards_yellow_0-15_percentage,cards_yellow_16-30_total,cards_yellow_16-30_percentage,cards_yellow_31-45_total,cards_yellow_31-45_percentage,cards_yellow_46-60_total,cards_yellow_46-60_percentage,cards_yellow_61-75_total,cards_yellow_61-75_percentage,cards_yellow_76-90_total,cards_yellow_76-90_percentage,cards_yellow_91-105_total,cards_yellow_91-105_percentage,cards_yellow_106-120_total,cards_yellow_106-120_percentage,cards_yellow__total,cards_yellow__percentage,cards_red_0-15_total,cards_red_0-15_percentage,cards_red_16-30_total,cards_red_16-30_percentage,cards_red_31-45_total,cards_red_31-45_percentage,cards_red_46-60_total,cards_red_46-60_percentage,cards_red_61-75_total,cards_red_61-75_percentage,cards_red_76-90_total,cards_red_76-90_percentage,cards_red_91-105_total,cards_red_91-105_percentage,cards_red_106-120_total,cards_red_106-120_percentage,cards_red__total,cards_red__percentage
WWWWWLWWWWDWWWWWDWWLDLWWWWWWWDDDLWW,"[{'formation': '4-3-3', 'played': 31}, {'formation': '4-2-3-1', 'played': 4}]",39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,42,Arsenal,https://media-1.api-sports.io/football/teams/42.png,17,18,35,13,12,25,3,3,6,1,3,4,48,35,83,2.8,1.9,2.4,10,12.50%,14,17.50%,10,12.50%,21,26.25%,13,16.25%,10,12.50%,2,2.50%,,,22,17,39,1.3,0.9,1.1,6,14.29%,3,7.14%,6,14.29%,8,19.05%,12,28.57%,5,11.90%,2,4.76%,,,7,3,1,5-0,0-3,1-3,4-1,5,4,3,4,3,10,13,1,1,2,3,100.00%,0,0%,3,,,4,8.33%,11,22.92%,15,31.25%,4,8.33%,9,18.75%,5,10.42%,,,,,,,,,,,,,,,,,,,,,,
WDWWLWDLLDLWWLWLWWDWDLWDWDWLWLWW,"[{'formation': '4-2-3-1', 'played': 20}, {'formation': '3-4-2-1', 'played': 4}, {'formation': '3-4-1-2', 'played': 2}, {'formation': '4-4-2', 'played': 2}, {'formation': '3-5-2', 'played': 2}, {'formation': '3-3-3-1', 'played': 1}, {'formation': '3-5-1-1', 'played': 1}]",39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,16,16,32,9,7,16,3,4,7,4,5,9,32,30,62,2.0,1.9,1.9,10,16.13%,9,14.52%,7,11.29%,12,19.35%,12,19.35%,8,12.90%,4,6.45%,,,14,26,40,0.9,1.6,1.3,8,20.00%,5,12.50%,9,22.50%,6,15.00%,7,17.50%,3,7.50%,2,5.00%,,,2,1,2,6-0,1-4,2-4,3-1,6,4,4,3,9,2,11,4,1,5,6,100.00%,0,0%,6,4,9.09%,3,6.82%,3,6.82%,12,27.27%,6,13.64%,13,29.55%,3,6.82%,,,,,,,,,,,,,,,,,,,,,,
