form,lineups,league_id,league_name,league_country,league_logo,league_flag,league_season,team_id,team_name,team_logo,fixtures_played_home,fixtures_played_away,fixtures_played_total,fixtures_wins_home,fixtures_wins_away,fixtures_wins_total,fixtures_draws_home,fixtures_draws_away,fixtures_draws_total,fixtures_loses_home,fixtures_loses_away,fixtures_loses_total,goals_for_total_home,goals_for_total_away,goals_for_total_total,goals_for_average_home,goals_for_average_away,goals_for_average_total,goals_for_minute_0-15_total,goals_for_minute_0-15_percentage,goals_for_minute_16-30_total,goals_for_minute_16-30_percentage,goals_for_minute_31-45_total,goals_for_minute_31-45_percentage,goals_for_minute_46-60_total,goals_for_minute_46-60_percentage,goals_for_minute_61-75_total,goals_for_minute_61-75_percentage,goals_for_minute_76-90_total,goals_for_minute_76-90_percentage,goals_for_minute_91-105_total,goals_for_minute_91-105_percentage,goals_for_minute_106-120_total,goals_for_minute_106-120_percentage,goals_against_total_home,goals_against_total_away,goals_against_total_total,goals_against_average_home,goals_against_average_away,goals_against_average_total,goals_against_minute_0-15_total,goals_against_minute_0-15_percentage,goals_against_minute_16-30_total,goals_against_minute_16-30_percentage,goals_against_minute_31-45_total,goals_against_minute_31-45_percentage,goals_against_minute_46-60_total,goals_against_minute_46-60_percentage,goals_against_minute_61-75_total,goals_against_minute_61-75_percentage,goals_against_minute_76-90_total,goals_against_minute_76-90_percentage,goals_against_minute_91-105_total,goals_against_minute_91-105_percentage,goals_against_minute_106-120_total,goals_against_minute_106-120_percentage,biggest_streak_wins,biggest_streak_draws,biggest_streak_loses,biggest_wins_home,biggest_wins_away,biggest_loses_home,biggest_loses_away,biggest_goals_for_home,biggest_goals_for_away,biggest_goals_against_home,biggest_goals_against_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,failed_to_score_home,failed_to_score_away,failed_to_score_total,penalty_scored_total,penalty_scored_percentage,penalty_missed_total,penalty_missed_percentage,penalty_total,cards_yellow_0-15_total,cards_yellow_0-15_percentage,cards_yellow_16-30_total,cards_yellow_16-30_percentage,cards_yellow_31-45_total,cards_yellow_31-45_percentage,cards_yellow_46-60_total,cards_yellow_46-60_percentage,cards_yellow_61-75_total,cards_yellow_61-75_percentage,cards_yellow_76-90_total,cards_yellow_76-90_percentage,cards_yellow_91-105_total,cards_yellow_91-105_percentage,cards_yellow_106-120_total,cards_yellow_106-120_percentage,cards_yellow__total,cards_yellow__percentage,cards_red_0-15_total,cards_red_0-15_percentage,cards_red_16-30_total,cards_red_16-30_percentage,cards_red_31-45_total,cards_red_31-45_percentage,cards_red_46-60_total,cards_red_46-60_percentage,cards_red_61-75_total,cards_red_61-75_percentage,cards_red_76-90_total,cards_red_76-90_percentage,cards_red_91-105_total,cards_red_91-105_percentage,cards_red_106-120_total,cards_red_106-120_percentage,cards_red__total,cards_red__percentage
WWWWWLWWWWDWWWWWDWWLDLWWWWWWWDDDLWWLL,"[{'formation': '4-3-3', 'played': 33}, {'formation': '4-2-3-1', 'played': 4}]",39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,42,Arsenal,https://media-2.api-sports.io/football/teams/42.png,18,19,37,13,12,25,3,3,6,2,4,6,48,35,83,2.7,1.8,2.2,10,12.50%,14,17.50%,10,12.50%,21,26.25%,13,16.25%,10,12.50%,2,2.50%,,,25,18,43,1.4,0.9,1.2,6,13.04%,4,8.70%,6,13.04%,9,19.57%,12,26.09%,6,13.04%,3,6.52%,,,7,3,1,5-0,0-3,0-3,4-1,5,4,3,4,3,10,13,2,2,4,3,100.00%,0,0%,3,,,4,7.84%,11,21.57%,16,31.37%,4,7.84%,11,21.57%,5,9.80%,,,,,,,,,,,,,,,,,,,,,,
LDLDDWLLLWLLDLLWLDWLWWLDLWLLDWWLWLWLD,"[{'formation': '4-2-3-1', 'played': 15}, {'formation': '4-4-2', 'played': 10}, {'formation': '4-3-3', 'played': 9}, {'formation': '3-5-2', 'played': 1}, {'formation': '3-4-2-1', 'played': 1}, {'formation': '5-3-2', 'played': 1}]",39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,19,18,37,9,2,11,3,5,8,7,11,18,19,12,31,1.0,0.7,0.8,6,20.69%,3,10.34%,5,17.24%,4,13.79%,6,20.69%,3,10.34%,2,6.90%,,,20,33,53,1.1,1.8,1.4,9,16.36%,7,12.73%,6,10.91%,11,20.00%,11,20.00%,8,14.55%,3,5.45%,,,2,2,3,3-0,1-2,0-4,6-0,3,2,4,6,10,1,11,6,8,14,3,100.00%,0,0%,3,7,8.24%,10,11.76%,14,16.47%,13,15.29%,13,15.29%,17,20.00%,11,12.94%,,,,,,,1,16.67%,1,16.67%,1,16.67%,,,1,16.67%,1,16.67%,,,1.0,16.67%
