form,lineups,league_id,league_name,league_country,league_logo,league_flag,league_season,team_id,team_name,team_logo,fixtures_played_home,fixtures_played_away,fixtures_played_total,fixtures_wins_home,fixtures_wins_away,fixtures_wins_total,fixtures_draws_home,fixtures_draws_away,fixtures_draws_total,fixtures_loses_home,fixtures_loses_away,fixtures_loses_total,goals_for_total_home,goals_for_total_away,goals_for_total_total,goals_for_average_home,goals_for_average_away,goals_for_average_total,goals_for_minute_0-15_total,goals_for_minute_0-15_percentage,goals_for_minute_16-30_total,goals_for_minute_16-30_percentage,goals_for_minute_31-45_total,goals_for_minute_31-45_percentage,goals_for_minute_46-60_total,goals_for_minute_46-60_percentage,goals_for_minute_61-75_total,goals_for_minute_61-75_percentage,goals_for_minute_76-90_total,goals_for_minute_76-90_percentage,goals_for_minute_91-105_total,goals_for_minute_91-105_percentage,goals_for_minute_106-120_total,goals_for_minute_106-120_percentage,goals_against_total_home,goals_against_total_away,goals_against_total_total,goals_against_average_home,goals_against_average_away,goals_against_average_total,goals_against_minute_0-15_total,goals_against_minute_0-15_percentage,goals_against_minute_16-30_total,goals_against_minute_16-30_percentage,goals_against_minute_31-45_total,goals_against_minute_31-45_percentage,goals_against_minute_46-60_total,goals_against_minute_46-60_percentage,goals_against_minute_61-75_total,goals_against_minute_61-75_percentage,goals_against_minute_76-90_total,goals_against_minute_76-90_percentage,goals_against_minute_91-105_total,goals_against_minute_91-105_percentage,goals_against_minute_106-120_total,goals_against_minute_106-120_percentage,biggest_streak_wins,biggest_streak_draws,biggest_streak_loses,biggest_wins_home,biggest_wins_away,biggest_loses_home,biggest_loses_away,biggest_goals_for_home,biggest_goals_for_away,biggest_goals_against_home,biggest_goals_against_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,failed_to_score_home,failed_to_score_away,failed_to_score_total,penalty_scored_total,penalty_scored_percentage,penalty_missed_total,penalty_missed_percentage,penalty_total,cards_yellow_0-15_total,cards_yellow_0-15_percentage,cards_yellow_16-30_total,cards_yellow_16-30_percentage,cards_yellow_31-45_total,cards_yellow_31-45_percentage,cards_yellow_46-60_total,cards_yellow_46-60_percentage,cards_yellow_61-75_total,cards_yellow_61-75_percentage,cards_yellow_76-90_total,cards_yellow_76-90_percentage,cards_yellow_91-105_total,cards_yellow_91-105_percentage,cards_yellow_106-120_total,cards_yellow_106-120_percentage,cards_yellow__total,cards_yellow__percentage,cards_red_0-15_total,cards_red_0-15_percentage,cards_red_16-30_total,cards_red_16-30_percentage,cards_red_31-45_total,cards_red_31-45_percentage,cards_red_46-60_total,cards_red_46-60_percentage,cards_red_61-75_total,cards_red_61-75_percentage,cards_red_76-90_total,cards_red_76-90_percentage,cards_red_91-105_total,cards_red_91-105_percentage,cards_red_106-120_total,cards_red_106-120_percentage,cards_red__total,cards_red__percentage
LLDDDDWWLLLWDLLLDLLLWLWLLDWDDLLDLD,"[{'formation': '4-3-3', 'played': 11}, {'formation': '4-5-1', 'played': 7}, {'formation': '4-2-3-1', 'played': 4}, {'formation': '3-4-3', 'played': 3}, {'formation': '5-4-1', 'played': 2}, {'formation': '4-1-4-1', 'played': 2}, {'formation': '4-4-2', 'played': 2}, {'formation': '5-3-2', 'played': 1}, {'formation': '3-5-2', 'played': 1}, {'formation': '3-4-2-1', 'played': 1}]",39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,45,Everton,https://media-1.api-sports.io/football/teams/45.png,17,17,34,5,1,6,3,8,11,9,8,17,15,12,27,0.9,0.7,0.8,6,23.08%,3,11.54%,2,7.69%,5,19.23%,4,15.38%,5,19.23%,1,3.85%,,,24,28,52,1.4,1.6,1.5,2,3.77%,9,16.98%,9,16.98%,12,22.64%,8,15.09%,12,22.64%,1,1.89%,,,2,4,3,3-0,1-2,1-4,4-0,3,2,4,4,6,2,8,4,9,13,3,100.00%,0,0%,3,3,4.11%,5,6.85%,13,17.81%,11,15.07%,20,27.40%,11,15.07%,10,13.70%,,,,,,,,,,,1,50.00%,,,1,50.00%,,,,,,
WWDWWDWWWLWWWLWDWLWWLWWDWWWWWWWWWW,"[{'formation': '4-3-3', 'played': 12}, {'formation': '3-2-4-1', 'played': 11}, {'formation': '4-2-3-1', 'played': 7}, {'formation': '3-4-2-1', 'played': 1}, {'formation': '4-1-4-1', 'played': 1}, {'formation': '3-4-3', 'played': 1}, {'formation': '4-4-2', 'played': 1}]",39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,50,Manchester City,https://media-3.api-sports.io/football/teams/50.png,18,16,34,16,10,26,1,3,4,1,3,4,59,30,89,3.3,1.9,2.6,12,13.64%,13,14.77%,15,17.05%,20,22.73%,20,22.73%,6,6.82%,2,2.27%,,,17,14,31,0.9,0.9,0.9,2,6.25%,5,15.63%,3,9.38%,5,15.63%,6,18.75%,9,28.13%,2,6.25%,,,3,1,1,6-0,1-4,1-2,2-1,6,4,3,3,6,5,11,0,2,2,9,100.00%,0,0%,9,1,2.33%,5,11.63%,8,18.60%,10,23.26%,7,16.28%,6,13.95%,6,13.95%,,,,,,,1,100.00%,,,,,,,,,,,,,,
