form,lineups,league_id,league_name,league_country,league_logo,league_flag,league_season,team_id,team_name,team_logo,fixtures_played_home,fixtures_played_away,fixtures_played_total,fixtures_wins_home,fixtures_wins_away,fixtures_wins_total,fixtures_draws_home,fixtures_draws_away,fixtures_draws_total,fixtures_loses_home,fixtures_loses_away,fixtures_loses_total,goals_for_total_home,goals_for_total_away,goals_for_total_total,goals_for_average_home,goals_for_average_away,goals_for_average_total,goals_for_minute_0-15_total,goals_for_minute_0-15_percentage,goals_for_minute_16-30_total,goals_for_minute_16-30_percentage,goals_for_minute_31-45_total,goals_for_minute_31-45_percentage,goals_for_minute_46-60_total,goals_for_minute_46-60_percentage,goals_for_minute_61-75_total,goals_for_minute_61-75_percentage,goals_for_minute_76-90_total,goals_for_minute_76-90_percentage,goals_for_minute_91-105_total,goals_for_minute_91-105_percentage,goals_for_minute_106-120_total,goals_for_minute_106-120_percentage,goals_against_total_home,goals_against_total_away,goals_against_total_total,goals_against_average_home,goals_against_average_away,goals_against_average_total,goals_against_minute_0-15_total,goals_against_minute_0-15_percentage,goals_against_minute_16-30_total,goals_against_minute_16-30_percentage,goals_against_minute_31-45_total,goals_against_minute_31-45_percentage,goals_against_minute_46-60_total,goals_against_minute_46-60_percentage,goals_against_minute_61-75_total,goals_against_minute_61-75_percentage,goals_against_minute_76-90_total,goals_against_minute_76-90_percentage,goals_against_minute_91-105_total,goals_against_minute_91-105_percentage,goals_against_minute_106-120_total,goals_against_minute_106-120_percentage,biggest_streak_wins,biggest_streak_draws,biggest_streak_loses,biggest_wins_home,biggest_wins_away,biggest_loses_home,biggest_loses_away,biggest_goals_for_home,biggest_goals_for_away,biggest_goals_against_home,biggest_goals_against_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,failed_to_score_home,failed_to_score_away,failed_to_score_total,penalty_scored_total,penalty_scored_percentage,penalty_missed_total,penalty_missed_percentage,penalty_total,cards_yellow_0-15_total,cards_yellow_0-15_percentage,cards_yellow_16-30_total,cards_yellow_16-30_percentage,cards_yellow_31-45_total,cards_yellow_31-45_percentage,cards_yellow_46-60_total,cards_yellow_46-60_percentage,cards_yellow_61-75_total,cards_yellow_61-75_percentage,cards_yellow_76-90_total,cards_yellow_76-90_percentage,cards_yellow_91-105_total,cards_yellow_91-105_percentage,cards_yellow_106-120_total,cards_yellow_106-120_percentage,cards_yellow__total,cards_yellow__percentage,cards_red_0-15_total,cards_red_0-15_percentage,cards_red_16-30_total,cards_red_16-30_percentage,cards_red_31-45_total,cards_red_31-45_percentage,cards_red_46-60_total,cards_red_46-60_percentage,cards_red_61-75_total,cards_red_61-75_percentage,cards_red_76-90_total,cards_red_76-90_percentage,cards_red_91-105_total,cards_red_91-105_percentage,cards_red_106-120_total,cards_red_106-120_percentage,cards_red__total,cards_red__percentage
LWLLLDWDDLLWLWWLWDWWLLLWWDWWWWWDWLLWD,"[{'formation': '4-4-2', 'played': 15}, {'formation': '4-2-3-1', 'played': 10}, {'formation': '4-3-3', 'played': 6}, {'formation': '4-3-2-1', 'played': 3}, {'formation': '4-3-1-2', 'played': 2}, {'formation': '4-2-2-2', 'played': 1}]",39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,66,Aston Villa,https://media-3.api-sports.io/football/teams/66.png,18,19,37,11,6,17,2,5,7,5,8,13,31,18,49,1.7,0.9,1.3,12,23.53%,7,13.73%,4,7.84%,7,13.73%,8,15.69%,11,21.57%,2,3.92%,,,20,25,45,1.1,1.3,1.2,10,23.26%,4,9.30%,7,16.28%,7,16.28%,7,16.28%,7,16.28%,1,2.33%,,,5,2,3,4-0,0-2,2-4,4-0,4,2,4,4,7,5,12,2,6,8,3,100.00%,0,0%,3,3,3.95%,6,7.89%,9,11.84%,13,17.11%,15,19.74%,17,22.37%,13,17.11%,,,,,,,,,,,,,1,100.00%,,,,,,,,
WDWWLWDLLDLWWLWLWWDWDLWDWDWLWLWWLWLW,"[{'formation': '4-2-3-1', 'played': 24}, {'formation': '3-4-2-1', 'played': 4}, {'formation': '3-4-1-2', 'played': 2}, {'formation': '4-4-2', 'played': 2}, {'formation': '3-5-2', 'played': 2}, {'formation': '3-3-3-1', 'played': 1}, {'formation': '3-5-1-1', 'played': 1}]",39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,18,18,36,10,8,18,3,4,7,5,6,11,36,34,70,2.0,1.9,1.9,10,13.89%,11,15.28%,9,12.50%,14,19.44%,13,18.06%,10,13.89%,5,6.94%,,,20,30,50,1.1,1.7,1.4,9,18.75%,6,12.50%,9,18.75%,8,16.67%,7,14.58%,5,10.42%,4,8.33%,,,2,1,2,6-0,1-4,1-5,4-1,6,4,5,4,9,3,12,4,1,5,6,100.00%,0,0%,6,4,7.55%,4,7.55%,4,7.55%,15,28.30%,8,15.09%,14,26.42%,4,7.55%,,,,,,,,,,,,,,,,,,,,,,
