form,lineups,league_id,league_name,league_country,league_logo,league_flag,league_season,team_id,team_name,team_logo,fixtures_played_home,fixtures_played_away,fixtures_played_total,fixtures_wins_home,fixtures_wins_away,fixtures_wins_total,fixtures_draws_home,fixtures_draws_away,fixtures_draws_total,fixtures_loses_home,fixtures_loses_away,fixtures_loses_total,goals_for_total_home,goals_for_total_away,goals_for_total_total,goals_for_average_home,goals_for_average_away,goals_for_average_total,goals_for_minute_0-15_total,goals_for_minute_0-15_percentage,goals_for_minute_16-30_total,goals_for_minute_16-30_percentage,goals_for_minute_31-45_total,goals_for_minute_31-45_percentage,goals_for_minute_46-60_total,goals_for_minute_46-60_percentage,goals_for_minute_61-75_total,goals_for_minute_61-75_percentage,goals_for_minute_76-90_total,goals_for_minute_76-90_percentage,goals_for_minute_91-105_total,goals_for_minute_91-105_percentage,goals_for_minute_106-120_total,goals_for_minute_106-120_percentage,goals_against_total_home,goals_against_total_away,goals_against_total_total,goals_against_average_home,goals_against_average_away,goals_against_average_total,goals_against_minute_0-15_total,goals_against_minute_0-15_percentage,goals_against_minute_16-30_total,goals_against_minute_16-30_percentage,goals_against_minute_31-45_total,goals_against_minute_31-45_percentage,goals_against_minute_46-60_total,goals_against_minute_46-60_percentage,goals_against_minute_61-75_total,goals_against_minute_61-75_percentage,goals_against_minute_76-90_total,goals_against_minute_76-90_percentage,goals_against_minute_91-105_total,goals_against_minute_91-105_percentage,goals_against_minute_106-120_total,goals_against_minute_106-120_percentage,biggest_streak_wins,biggest_streak_draws,biggest_streak_loses,biggest_wins_home,biggest_wins_away,biggest_loses_home,biggest_loses_away,biggest_goals_for_home,biggest_goals_for_away,biggest_goals_against_home,biggest_goals_against_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,failed_to_score_home,failed_to_score_away,failed_to_score_total,penalty_scored_total,penalty_scored_percentage,penalty_missed_total,penalty_missed_percentage,penalty_total,cards_yellow_0-15_total,cards_yellow_0-15_percentage,cards_yellow_16-30_total,cards_yellow_16-30_percentage,cards_yellow_31-45_total,cards_yellow_31-45_percentage,cards_yellow_46-60_total,cards_yellow_46-60_percentage,cards_yellow_61-75_total,cards_yellow_61-75_percentage,cards_yellow_76-90_total,cards_yellow_76-90_percentage,cards_yellow_91-105_total,cards_yellow_91-105_percentage,cards_yellow_106-120_total,cards_yellow_106-120_percentage,cards_yellow__total,cards_yellow__percentage,cards_red_0-15_total,cards_red_0-15_percentage,cards_red_16-30_total,cards_red_16-30_percentage,cards_red_31-45_total,cards_red_31-45_percentage,cards_red_46-60_total,cards_red_46-60_percentage,cards_red_61-75_total,cards_red_61-75_percentage,cards_red_76-90_total,cards_red_76-90_percentage,cards_red_91-105_total,cards_red_91-105_percentage,cards_red_106-120_total,cards_red_106-120_percentage,cards_red__total,cards_red__percentage
DLLLLLLWLDWWLWWLLLLDWWLLLLDLLLLWDDLL,"[{'formation': '4-2-3-1', 'played': 15}, {'formation': '4-1-4-1', 'played': 11}, {'formation': '4-3-3', 'played': 3}, {'formation': '3-5-1-1', 'played': 2}, {'formation': '4-4-2', 'played': 2}, {'formation': '3-4-3', 'played': 2}, {'formation': '3-4-2-1', 'played': 1}]",39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,46,Leicester,https://media-3.api-sports.io/football/teams/46.png,18,18,36,4,4,8,4,2,6,10,12,22,21,28,49,1.2,1.6,1.4,8,15.38%,6,11.54%,15,28.85%,8,15.38%,7,13.46%,8,15.38%,,,,,26,41,67,1.4,2.3,1.9,12,18.75%,11,17.19%,8,12.50%,11,17.19%,12,18.75%,8,12.50%,2,3.13%,,,2,2,6,4-0,0-4,0-3,6-2,4,4,3,6,3,3,6,8,3,11,3,100.00%,0,0%,3,2,3.23%,6,9.68%,5,8.06%,16,25.81%,12,19.35%,16,25.81%,5,8.06%,,,,,,,,,,,,,1,50.00%,1,50.00%,,,,,,
DLLLLLLWLDWWLWWLLLLDWWLLLLDLLLLWDDLL,"[{'formation': '4-2-3-1', 'played': 15}, {'formation': '4-1-4-1', 'played': 11}, {'formation': '4-3-3', 'played': 3}, {'formation': '3-5-1-1', 'played': 2}, {'formation': '4-4-2', 'played': 2}, {'formation': '3-4-3', 'played': 2}, {'formation': '3-4-2-1', 'played': 1}]",39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,46,Leicester,https://media-3.api-sports.io/football/teams/46.png,18,18,36,4,4,8,4,2,6,10,12,22,21,28,49,1.2,1.6,1.4,8,15.38%,6,11.54%,15,28.85%,8,15.38%,7,13.46%,8,15.38%,,,,,26,41,67,1.4,2.3,1.9,12,18.75%,11,17.19%,8,12.50%,11,17.19%,12,18.75%,8,12.50%,2,3.13%,,,2,2,6,4-0,0-4,0-3,6-2,4,4,3,6,3,3,6,8,3,11,3,100.00%,0,0%,3,2,3.23%,6,9.68%,5,8.06%,16,25.81%,12,19.35%,16,25.81%,5,8.06%,,,,,,,,,,,,,1,50.00%,1,50.00%,,,,,,
LLLWDLLWWDLWLLLLLDLWDDLWLDWLWDWLLLWLW,"[{'formation': '4-2-3-1', 'played': 19}, {'formation': '4-3-3', 'played': 7}, {'formation': '3-4-2-1', 'played': 5}, {'formation': '4-4-2', 'played': 2}, {'formation': '3-5-2', 'played': 1}, {'formation': '3-4-1-2', 'played': 1}, {'formation': '3-4-3', 'played': 1}, {'formation': '4-1-4-1', 'played': 1}]",39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,19,18,37,8,3,11,4,3,7,7,12,19,26,15,41,1.4,0.8,1.1,4,9.76%,8,19.51%,10,24.39%,5,12.20%,9,21.95%,2,4.88%,3,7.32%,,,24,29,53,1.3,1.6,1.4,8,15.09%,14,26.42%,5,9.43%,9,16.98%,9,16.98%,7,13.21%,1,1.89%,,,2,2,5,4-0,0-4,1-5,4-0,4,4,5,4,6,3,9,4,9,13,6,100.00%,0,0%,6,2,4.65%,2,4.65%,4,9.30%,13,30.23%,9,20.93%,6,13.95%,7,16.28%,,,,,,,,,,,,,,,,,,,,,,
