form,lineups,league_id,league_name,league_country,league_logo,league_flag,league_season,team_id,team_name,team_logo,fixtures_played_home,fixtures_played_away,fixtures_played_total,fixtures_wins_home,fixtures_wins_away,fixtures_wins_total,fixtures_draws_home,fixtures_draws_away,fixtures_draws_total,fixtures_loses_home,fixtures_loses_away,fixtures_loses_total,goals_for_total_home,goals_for_total_away,goals_for_total_total,goals_for_average_home,goals_for_average_away,goals_for_average_total,goals_for_minute_0-15_total,goals_for_minute_0-15_percentage,goals_for_minute_16-30_total,goals_for_minute_16-30_percentage,goals_for_minute_31-45_total,goals_for_minute_31-45_percentage,goals_for_minute_46-60_total,goals_for_minute_46-60_percentage,goals_for_minute_61-75_total,goals_for_minute_61-75_percentage,goals_for_minute_76-90_total,goals_for_minute_76-90_percentage,goals_for_minute_91-105_total,goals_for_minute_91-105_percentage,goals_for_minute_106-120_total,goals_for_minute_106-120_percentage,goals_against_total_home,goals_against_total_away,goals_against_total_total,goals_against_average_home,goals_against_average_away,goals_against_average_total,goals_against_minute_0-15_total,goals_against_minute_0-15_percentage,goals_against_minute_16-30_total,goals_against_minute_16-30_percentage,goals_against_minute_31-45_total,goals_against_minute_31-45_percentage,goals_against_minute_46-60_total,goals_against_minute_46-60_percentage,goals_against_minute_61-75_total,goals_against_minute_61-75_percentage,goals_against_minute_76-90_total,goals_against_minute_76-90_percentage,goals_against_minute_91-105_total,goals_against_minute_91-105_percentage,goals_against_minute_106-120_total,goals_against_minute_106-120_percentage,biggest_streak_wins,biggest_streak_draws,biggest_streak_loses,biggest_wins_home,biggest_wins_away,biggest_loses_home,biggest_loses_away,biggest_goals_for_home,biggest_goals_for_away,biggest_goals_against_home,biggest_goals_against_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,failed_to_score_home,failed_to_score_away,failed_to_score_total,penalty_scored_total,penalty_scored_percentage,penalty_missed_total,penalty_missed_percentage,penalty_total,cards_yellow_0-15_total,cards_yellow_0-15_percentage,cards_yellow_16-30_total,cards_yellow_16-30_percentage,cards_yellow_31-45_total,cards_yellow_31-45_percentage,cards_yellow_46-60_total,cards_yellow_46-60_percentage,cards_yellow_61-75_total,cards_yellow_61-75_percentage,cards_yellow_76-90_total,cards_yellow_76-90_percentage,cards_yellow_91-105_total,cards_yellow_91-105_percentage,cards_yellow_106-120_total,cards_yellow_106-120_percentage,cards_yellow__total,cards_yellow__percentage,cards_red_0-15_total,cards_red_0-15_percentage,cards_red_16-30_total,cards_red_16-30_percentage,cards_red_31-45_total,cards_red_31-45_percentage,cards_red_46-60_total,cards_red_46-60_percentage,cards_red_61-75_total,cards_red_61-75_percentage,cards_red_76-90_total,cards_red_76-90_percentage,cards_red_91-105_total,cards_red_91-105_percentage,cards_red_106-120_total,cards_red_106-120_percentage,cards_red__total,cards_red__percentage
DDLWWDDLWWLLWWWWLLDLWWDWWLLDDWWWWWW,"[{'formation': '4-3-3', 'played': 29}, {'formation': '4-2-3-1', 'played': 2}, {'formation': '4-4-2', 'played': 2}, {'formation': '4-3-1-2', 'played': 2}]",39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,40,Liverpool,https://media-3.api-sports.io/football/teams/40.png,18,17,35,13,5,18,4,4,8,1,8,9,45,22,67,2.5,1.3,1.9,12,18.46%,7,10.77%,13,20.00%,9,13.85%,11,16.92%,11,16.92%,2,3.08%,,,16,26,42,0.9,1.5,1.2,8,18.18%,5,11.36%,7,15.91%,11,25.00%,6,13.64%,6,13.64%,1,2.27%,,,4,2,2,9-0,1-6,1-2,4-1,9,6,3,4,9,4,13,1,7,8,2,100.00%,0,0%,2,4,7.84%,6,11.76%,7,13.73%,8,15.69%,11,21.57%,11,21.57%,4,7.84%,,,,,,,,,,,1,100.00%,,,,,,,,,,
LWLLLDWDDLLWLWWLWDWWLLLWWDWWWWWDWLLW,"[{'formation': '4-4-2', 'played': 15}, {'formation': '4-2-3-1', 'played': 9}, {'formation': '4-3-3', 'played': 6}, {'formation': '4-3-2-1', 'played': 3}, {'formation': '4-3-1-2', 'played': 2}, {'formation': '4-2-2-2', 'played': 1}]",39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,66,Aston Villa,https://media-1.api-sports.io/football/teams/66.png,18,18,36,11,6,17,2,4,6,5,8,13,31,17,48,1.7,0.9,1.3,12,24.00%,6,12.00%,4,8.00%,7,14.00%,8,16.00%,11,22.00%,2,4.00%,,,20,24,44,1.1,1.3,1.2,10,23.81%,4,9.52%,7,16.67%,7,16.67%,7,16.67%,6,14.29%,1,2.38%,,,5,2,3,4-0,0-2,2-4,4-0,4,2,4,4,7,5,12,2,6,8,3,100.00%,0,0%,3,3,4.23%,6,8.45%,8,11.27%,12,16.90%,15,21.13%,16,22.54%,11,15.49%,,,,,,,,,,,,,1,100.00%,,,,,,,,
