form,lineups,league_id,league_name,league_country,league_logo,league_flag,league_season,team_id,team_name,team_logo,fixtures_played_home,fixtures_played_away,fixtures_played_total,fixtures_wins_home,fixtures_wins_away,fixtures_wins_total,fixtures_draws_home,fixtures_draws_away,fixtures_draws_total,fixtures_loses_home,fixtures_loses_away,fixtures_loses_total,goals_for_total_home,goals_for_total_away,goals_for_total_total,goals_for_average_home,goals_for_average_away,goals_for_average_total,goals_for_minute_0-15_total,goals_for_minute_0-15_percentage,goals_for_minute_16-30_total,goals_for_minute_16-30_percentage,goals_for_minute_31-45_total,goals_for_minute_31-45_percentage,goals_for_minute_46-60_total,goals_for_minute_46-60_percentage,goals_for_minute_61-75_total,goals_for_minute_61-75_percentage,goals_for_minute_76-90_total,goals_for_minute_76-90_percentage,goals_for_minute_91-105_total,goals_for_minute_91-105_percentage,goals_for_minute_106-120_total,goals_for_minute_106-120_percentage,goals_against_total_home,goals_against_total_away,goals_against_total_total,goals_against_average_home,goals_against_average_away,goals_against_average_total,goals_against_minute_0-15_total,goals_against_minute_0-15_percentage,goals_against_minute_16-30_total,goals_against_minute_16-30_percentage,goals_against_minute_31-45_total,goals_against_minute_31-45_percentage,goals_against_minute_46-60_total,goals_against_minute_46-60_percentage,goals_against_minute_61-75_total,goals_against_minute_61-75_percentage,goals_against_minute_76-90_total,goals_against_minute_76-90_percentage,goals_against_minute_91-105_total,goals_against_minute_91-105_percentage,goals_against_minute_106-120_total,goals_against_minute_106-120_percentage,biggest_streak_wins,biggest_streak_draws,biggest_streak_loses,biggest_wins_home,biggest_wins_away,biggest_loses_home,biggest_loses_away,biggest_goals_for_home,biggest_goals_for_away,biggest_goals_against_home,biggest_goals_against_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,failed_to_score_home,failed_to_score_away,failed_to_score_total,penalty_scored_total,penalty_scored_percentage,penalty_missed_total,penalty_missed_percentage,penalty_total,cards_yellow_0-15_total,cards_yellow_0-15_percentage,cards_yellow_16-30_total,cards_yellow_16-30_percentage,cards_yellow_31-45_total,cards_yellow_31-45_percentage,cards_yellow_46-60_total,cards_yellow_46-60_percentage,cards_yellow_61-75_total,cards_yellow_61-75_percentage,cards_yellow_76-90_total,cards_yellow_76-90_percentage,cards_yellow_91-105_total,cards_yellow_91-105_percentage,cards_yellow_106-120_total,cards_yellow_106-120_percentage,cards_yellow__total,cards_yellow__percentage,cards_red_0-15_total,cards_red_0-15_percentage,cards_red_16-30_total,cards_red_16-30_percentage,cards_red_31-45_total,cards_red_31-45_percentage,cards_red_46-60_total,cards_red_46-60_percentage,cards_red_61-75_total,cards_red_61-75_percentage,cards_red_76-90_total,cards_red_76-90_percentage,cards_red_91-105_total,cards_red_91-105_percentage,cards_red_106-120_total,cards_red_106-120_percentage,cards_red__total,cards_red__percentage
WDWWLWDLLDLWWLWLWWDWDLWDWDWLWLWWLW,"[{'formation': '4-2-3-1', 'played': 22}, {'formation': '3-4-2-1', 'played': 4}, {'formation': '3-4-1-2', 'played': 2}, {'formation': '4-4-2', 'played': 2}, {'formation': '3-5-2', 'played': 2}, {'formation': '3-3-3-1', 'played': 1}, {'formation': '3-5-1-1', 'played': 1}]",39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,17,17,34,9,8,17,3,4,7,5,5,10,33,33,66,1.9,1.9,1.9,10,14.93%,9,13.43%,8,11.94%,13,19.40%,12,17.91%,10,14.93%,5,7.46%,,,19,26,45,1.1,1.5,1.3,9,20.45%,6,13.64%,9,20.45%,6,13.64%,7,15.91%,4,9.09%,3,6.82%,,,2,1,2,6-0,1-4,1-5,3-1,6,4,5,3,9,3,12,4,1,5,6,100.00%,0,0%,6,4,8.51%,4,8.51%,4,8.51%,13,27.66%,6,12.77%,13,27.66%,3,6.38%,,,,,,,,,,,,,,,,,,,,,,
LDWLWLLLLDWDLLLLLLWLLLWLWDLDLLLDLLLL,"[{'formation': '4-2-3-1', 'played': 14}, {'formation': '4-4-2', 'played': 13}, {'formation': '5-3-2', 'played': 3}, {'formation': '3-4-2-1', 'played': 2}, {'formation': '4-3-3', 'played': 2}, {'formation': '3-1-4-2', 'played': 1}, {'formation': '3-4-1-2', 'played': 1}]",39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,41,Southampton,https://media-1.api-sports.io/football/teams/41.png,18,18,36,2,4,6,4,2,6,12,12,24,15,16,31,0.8,0.9,0.9,5,13.89%,4,11.11%,4,11.11%,7,19.44%,8,22.22%,6,16.67%,2,5.56%,,,33,33,66,1.8,1.8,1.8,3,4.92%,9,14.75%,12,19.67%,16,26.23%,11,18.03%,8,13.11%,2,3.28%,,,1,1,6,2-1,1-2,1-4,4-0,3,3,4,4,1,3,4,7,8,15,2,100.00%,0,0%,2,6,8.82%,4,5.88%,12,17.65%,8,11.76%,10,14.71%,13,19.12%,13,19.12%,,,2.0,2.94%,,,,,,,,,,,,,,,,,,
