form,lineups,league_id,league_name,league_country,league_logo,league_flag,league_season,team_id,team_name,team_logo,fixtures_played_home,fixtures_played_away,fixtures_played_total,fixtures_wins_home,fixtures_wins_away,fixtures_wins_total,fixtures_draws_home,fixtures_draws_away,fixtures_draws_total,fixtures_loses_home,fixtures_loses_away,fixtures_loses_total,goals_for_total_home,goals_for_total_away,goals_for_total_total,goals_for_average_home,goals_for_average_away,goals_for_average_total,goals_for_minute_0-15_total,goals_for_minute_0-15_percentage,goals_for_minute_16-30_total,goals_for_minute_16-30_percentage,goals_for_minute_31-45_total,goals_for_minute_31-45_percentage,goals_for_minute_46-60_total,goals_for_minute_46-60_percentage,goals_for_minute_61-75_total,goals_for_minute_61-75_percentage,goals_for_minute_76-90_total,goals_for_minute_76-90_percentage,goals_for_minute_91-105_total,goals_for_minute_91-105_percentage,goals_for_minute_106-120_total,goals_for_minute_106-120_percentage,goals_against_total_home,goals_against_total_away,goals_against_total_total,goals_against_average_home,goals_against_average_away,goals_against_average_total,goals_against_minute_0-15_total,goals_against_minute_0-15_percentage,goals_against_minute_16-30_total,goals_against_minute_16-30_percentage,goals_against_minute_31-45_total,goals_against_minute_31-45_percentage,goals_against_minute_46-60_total,goals_against_minute_46-60_percentage,goals_against_minute_61-75_total,goals_against_minute_61-75_percentage,goals_against_minute_76-90_total,goals_against_minute_76-90_percentage,goals_against_minute_91-105_total,goals_against_minute_91-105_percentage,goals_against_minute_106-120_total,goals_against_minute_106-120_percentage,biggest_streak_wins,biggest_streak_draws,biggest_streak_loses,biggest_wins_home,biggest_wins_away,biggest_loses_home,biggest_loses_away,biggest_goals_for_home,biggest_goals_for_away,biggest_goals_against_home,biggest_goals_against_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,failed_to_score_home,failed_to_score_away,failed_to_score_total,penalty_scored_total,penalty_scored_percentage,penalty_missed_total,penalty_missed_percentage,penalty_total,cards_yellow_0-15_total,cards_yellow_0-15_percentage,cards_yellow_16-30_total,cards_yellow_16-30_percentage,cards_yellow_31-45_total,cards_yellow_31-45_percentage,cards_yellow_46-60_total,cards_yellow_46-60_percentage,cards_yellow_61-75_total,cards_yellow_61-75_percentage,cards_yellow_76-90_total,cards_yellow_76-90_percentage,cards_yellow_91-105_total,cards_yellow_91-105_percentage,cards_yellow_106-120_total,cards_yellow_106-120_percentage,cards_yellow__total,cards_yellow__percentage,cards_red_0-15_total,cards_red_0-15_percentage,cards_red_16-30_total,cards_red_16-30_percentage,cards_red_31-45_total,cards_red_31-45_percentage,cards_red_46-60_total,cards_red_46-60_percentage,cards_red_61-75_total,cards_red_61-75_percentage,cards_red_76-90_total,cards_red_76-90_percentage,cards_red_91-105_total,cards_red_91-105_percentage,cards_red_106-120_total,cards_red_106-120_percentage,cards_red__total,cards_red__percentage
DWLDDWLDLWDLDDWDWWWDWDDWLWDDLLLDWWL,"[{'formation': '4-3-3', 'played': 19}, {'formation': '3-5-2', 'played': 10}, {'formation': '5-3-2', 'played': 6}]",39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,55,Brentford,https://media-3.api-sports.io/football/teams/55.png,17,18,35,8,4,12,7,7,14,2,7,9,32,20,52,1.9,1.1,1.5,4,7.55%,7,13.21%,10,18.87%,9,16.98%,7,13.21%,10,18.87%,6,11.32%,,,18,27,45,1.1,1.5,1.3,6,13.64%,12,27.27%,3,6.82%,11,25.00%,6,13.64%,5,11.36%,1,2.27%,,,3,2,3,4-0,0-2,0-3,5-1,5,3,3,5,5,5,10,2,7,9,7,100.00%,0,0%,7,3,5.88%,3,5.88%,2,3.92%,10,19.61%,13,25.49%,9,17.65%,11,21.57%,,,,,,,,,,,,,,,,,1,100.00%,,,,
LLLWDLLWWDLWLLLLLDLWDDLWLDWLWDWLLL,"[{'formation': '4-2-3-1', 'played': 16}, {'formation': '4-3-3', 'played': 7}, {'formation': '3-4-2-1', 'played': 5}, {'formation': '4-4-2', 'played': 2}, {'formation': '3-5-2', 'played': 1}, {'formation': '3-4-1-2', 'played': 1}, {'formation': '3-4-3', 'played': 1}, {'formation': '4-1-4-1', 'played': 1}]",39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,17,17,34,6,3,9,4,3,7,7,11,18,22,15,37,1.3,0.9,1.1,4,10.81%,7,18.92%,9,24.32%,5,13.51%,8,21.62%,2,5.41%,2,5.41%,,,23,27,50,1.4,1.6,1.5,8,16.00%,12,24.00%,4,8.00%,9,18.00%,9,18.00%,7,14.00%,1,2.00%,,,2,2,5,4-0,0-4,1-5,4-0,4,4,5,4,5,3,8,4,8,12,6,100.00%,0,0%,6,2,4.76%,2,4.76%,4,9.52%,13,30.95%,8,19.05%,6,14.29%,7,16.67%,,,,,,,,,,,,,,,,,,,,,,
