form,lineups,league_id,league_name,league_country,league_logo,league_flag,league_season,team_id,team_name,team_logo,fixtures_played_home,fixtures_played_away,fixtures_played_total,fixtures_wins_home,fixtures_wins_away,fixtures_wins_total,fixtures_draws_home,fixtures_draws_away,fixtures_draws_total,fixtures_loses_home,fixtures_loses_away,fixtures_loses_total,goals_for_total_home,goals_for_total_away,goals_for_total_total,goals_for_average_home,goals_for_average_away,goals_for_average_total,goals_for_minute_0-15_total,goals_for_minute_0-15_percentage,goals_for_minute_16-30_total,goals_for_minute_16-30_percentage,goals_for_minute_31-45_total,goals_for_minute_31-45_percentage,goals_for_minute_46-60_total,goals_for_minute_46-60_percentage,goals_for_minute_61-75_total,goals_for_minute_61-75_percentage,goals_for_minute_76-90_total,goals_for_minute_76-90_percentage,goals_for_minute_91-105_total,goals_for_minute_91-105_percentage,goals_for_minute_106-120_total,goals_for_minute_106-120_percentage,goals_against_total_home,goals_against_total_away,goals_against_total_total,goals_against_average_home,goals_against_average_away,goals_against_average_total,goals_against_minute_0-15_total,goals_against_minute_0-15_percentage,goals_against_minute_16-30_total,goals_against_minute_16-30_percentage,goals_against_minute_31-45_total,goals_against_minute_31-45_percentage,goals_against_minute_46-60_total,goals_against_minute_46-60_percentage,goals_against_minute_61-75_total,goals_against_minute_61-75_percentage,goals_against_minute_76-90_total,goals_against_minute_76-90_percentage,goals_against_minute_91-105_total,goals_against_minute_91-105_percentage,goals_against_minute_106-120_total,goals_against_minute_106-120_percentage,biggest_streak_wins,biggest_streak_draws,biggest_streak_loses,biggest_wins_home,biggest_wins_away,biggest_loses_home,biggest_loses_away,biggest_goals_for_home,biggest_goals_for_away,biggest_goals_against_home,biggest_goals_against_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,failed_to_score_home,failed_to_score_away,failed_to_score_total,penalty_scored_total,penalty_scored_percentage,penalty_missed_total,penalty_missed_percentage,penalty_total,cards_yellow_0-15_total,cards_yellow_0-15_percentage,cards_yellow_16-30_total,cards_yellow_16-30_percentage,cards_yellow_31-45_total,cards_yellow_31-45_percentage,cards_yellow_46-60_total,cards_yellow_46-60_percentage,cards_yellow_61-75_total,cards_yellow_61-75_percentage,cards_yellow_76-90_total,cards_yellow_76-90_percentage,cards_yellow_91-105_total,cards_yellow_91-105_percentage,cards_yellow_106-120_total,cards_yellow_106-120_percentage,cards_yellow__total,cards_yellow__percentage,cards_red_0-15_total,cards_red_0-15_percentage,cards_red_16-30_total,cards_red_16-30_percentage,cards_red_31-45_total,cards_red_31-45_percentage,cards_red_46-60_total,cards_red_46-60_percentage,cards_red_61-75_total,cards_red_61-75_percentage,cards_red_76-90_total,cards_red_76-90_percentage,cards_red_91-105_total,cards_red_91-105_percentage,cards_red_106-120_total,cards_red_106-120_percentage,cards_red__total,cards_red__percentage
LLLWDLLWWDLWLLLLLDLWDDLWLDWLWDWLLLWL,"[{'formation': '4-2-3-1', 'played': 18}, {'formation': '4-3-3', 'played': 7}, {'formation': '3-4-2-1', 'played': 5}, {'formation': '4-4-2', 'played': 2}, {'formation': '3-5-2', 'played': 1}, {'formation': '3-4-1-2', 'played': 1}, {'formation': '3-4-3', 'played': 1}, {'formation': '4-1-4-1', 'played': 1}]",39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,48,West Ham,https://media-2.api-sports.io/football/teams/48.png,18,18,36,7,3,10,4,3,7,7,12,19,23,15,38,1.3,0.8,1.1,4,10.53%,8,21.05%,9,23.68%,5,13.16%,8,21.05%,2,5.26%,2,5.26%,,,23,29,52,1.3,1.6,1.4,8,15.38%,13,25.00%,5,9.62%,9,17.31%,9,17.31%,7,13.46%,1,1.92%,,,2,2,5,4-0,0-4,1-5,4-0,4,4,5,4,6,3,9,4,9,13,6,100.00%,0,0%,6,2,4.76%,2,4.76%,4,9.52%,13,30.95%,8,19.05%,6,14.29%,7,16.67%,,,,,,,,,,,,,,,,,,,,,,
WDWLDLDLLLLWWLLDDLDLDLLWLDWLWLLLDLLD,"[{'formation': '4-2-3-1', 'played': 32}, {'formation': '4-3-3', 'played': 3}, {'formation': '3-4-3', 'played': 1}]",39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,63,Leeds,https://media-1.api-sports.io/football/teams/63.png,18,18,36,5,2,7,7,3,10,6,13,19,25,21,46,1.4,1.2,1.3,7,15.91%,7,15.91%,5,11.36%,8,18.18%,5,11.36%,10,22.73%,2,4.55%,,,33,38,71,1.8,2.1,2.0,6,8.22%,10,13.70%,8,10.96%,16,21.92%,18,24.66%,13,17.81%,2,2.74%,,,2,2,4,3-0,2-4,1-6,5-2,4,4,6,5,4,1,5,4,6,10,1,100.00%,0,0%,1,3,3.61%,5,6.02%,18,21.69%,17,20.48%,13,15.66%,12,14.46%,14,16.87%,,,1.0,1.20%,,,,,,,1,33.33%,,,1,33.33%,1,33.33%,,,,
